title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
12 Monkeys,2015,2018,"['Adventure', 'Drama', 'Mystery']",Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.,7.7,42021,42,,,"['Aaron Stanford', 'Amanda Schull', 'Noah Bean', 'Barbara Sukowa']",
12 Rounds 3: Lockdown,2015,,"['Action', 'Crime', 'Thriller']","Upon returning to work after recovering from an injury, a police officer discovers and attempts to turn in incriminating evidence of illegal activities against his fellow cops.",5.2,4021,90,,,"['Jonathan Good', 'Roger Cross', 'Daniel Cudmore', 'Lochlyn Munro']",['Stephen Reynolds']
127 Hours,2010,,"['Biography', 'Drama']","A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",7.5,357144,94,18.34,,"['James Franco', 'Amber Tamblyn', 'Kate Mara', 'Sean Bott']",['Danny Boyle']
13 Geboden,2017,2018,"['Crime', 'Mystery', 'Thriller']",A serial killer reverts to the 10 commandments in order to kick society a conscience with his crimes.,7.0,2093,46,,,"['Dirk van Dijck', 'Marie Vinck', 'Karlijn Sileghem', 'Line Pillet']",
13 Minutes,,,"['Drama', 'Thriller']",Unusual events begin to occur for a high school student after she is revived from being unconscious in a frozen lake for 13 minutes.,,,,,,['Jimmy Waitman'],
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']","The school goes into lockdown and Clay, Tony and Justin worry about Tyler's whereabouts.",6.6,1694,61,,,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe']",['Brenda Strong']
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']","Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",7.6,266386,60,,,"['Dylan Minnette', 'Katherine Langford', 'Christian Navarro', 'Alisha Boe']",
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']","As the school gears up for the Love Is Love dance on Valentine's Day, disturbing phone calls keep Clay from getting in the spirit.",5.6,1635,59,,,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe']",['Michael Sucsy']
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']","In the wake of the lockdown, the school is on edge -- and a troubling abuse of power pushes the students to take action.",6.2,1619,57,,,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe']",['Sunu Gonera']
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']",Clay's mental health continues to decline as the friends wrestle with difficult emotions during their college admissions interviews.,5.9,1420,60,,,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe']",['Sunu Gonera']
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']","The police question Tyler about the guns, leaving the friends rattled. Winston transfers to Liberty High after getting expelled from Hillcrest.",5.7,1798,59,,,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe']",['Russell Mulcahy']
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']",Clay is forced to confront his anxiety on the senior camping trip as a suspicious email threatens to turn the friends against each other.,5.1,1714,59,,,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe']",['Michael Sucsy']
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']","The Jensens make the boys take a drug test. When the Liberty parents learn about an upcoming party, Clay suspects that they're tracking the students.",6.1,1507,57,,,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe']",['Brenda Strong']
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']","After an incident at school, Clay thinks someone's trying to set him up. Zach and Clay land in hot water during a college tour.",5.7,1597,58,,,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe']",['Russell Mulcahy']
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']","When the dean begins a new investigation and threatens to cancel prom, the friends decide to confide in their parents...but not about everything.",6.8,1640,60,,,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe']",['Tommy Lohmann']
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']","Strengthened by the struggles they've endured, the friends say goodbye to high school and look toward the future in an emotional series finale.",7.7,2312,98,,,"['Dylan Minnette', 'Grace Saif', 'Christian Navarro', 'Alisha Boe']",['Brian Yorkey']
13 Reasons Why: Season 2 Date Announcement Commercial,2018,,"['Short', 'Drama']",,7.2,197,1,,,"['Alisha Boe', 'Tommy Dorfman', 'Katherine Langford', 'Derek Luke']",['Greg Jardin']
13: The Musical,,,"['Comedy', 'Family', 'Musical']",A Bar Mitzvah boy from Manhattan comes to terms with his family's move to the Midwest.,,,,,,"['Josh Peck', 'Rhea Perlman', 'Peter Hermann', 'Debra Messing']",['Tamra Davis']
13th,2016,,"['Documentary', 'Crime', 'History']",An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,8.2,33496,100,,,"['Melina Abdullah', 'Michelle Alexander', 'Cory Booker', 'Dolores Canales']",['Ava DuVernay']
13th: A Conversation with Oprah Winfrey & Ava DuVernay,2017,,"['Documentary', 'Short']",Oprah Winfrey sits down with other to discuss social and cultural issues.,7.1,193,37,,Video,"['Oprah Winfrey', 'Ava DuVernay']",
15 August,2019,,['Drama'],"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",5.9,245,124,,,"['Abhishek Deshmukh', 'Mrunmayee Deshpande', 'Namrata Kadam', 'Addinath Kothare']",['Swapnaneel Jaykar']
17 filles,2011,,['Drama'],"When a rebellious teenager finds out that she is already eight weeks pregnant, she forms a pact with sixteen of her classmates to get pregnant simultaneously, raise their children together, and most of all, be in charge of their lives.",6.0,3140,86,0.02,,"['Louise Grinberg', 'Juliette Darche', 'Roxane Duran', 'Esther Garrel']","['Delphine Coulin', 'Muriel Coulin']"
18 regali,2020,,['Drama'],"Inspired by the extraordinary story of Elisa Girotto, the woman who moved the world by leaving 18 birthday gifts for her daughter when she discovered that she would have little time with her.",6.7,3312,115,,,"['Vittoria Puccini', 'Benedetta Porcaroli', 'Edoardo Leo', 'Sara Lazzaro']",['Francesco Amato']
1898. Los últimos de Filipinas,2016,,"['Drama', 'History', 'War']",A soldiers trapped inside a church as last refugee. A fight that no one couldn't win. A war that no one wanted to lose.,6.5,3074,105,,,"['Luis Tosar', 'Javier Gutiérrez', 'Álvaro Cervantes', 'Karra Elejalde']",['Salvador Calvo']
1899,2022,Ongoing,"['Drama', 'History', 'Horror']",,,,,,,,['Baran bo Odar']
