title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
Masters of the Universe: Revelation,2021,Ongoing,"['Animation', 'Action', 'Adventure']",The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,5.0,17870,25,,Series,"['Chris Wood', 'Sarah Michelle Gellar', 'Lena Headey', 'Mark Hamill']",
The Walking Dead,2010,2022,"['Drama', 'Horror', 'Thriller']",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,8.2,885805,44,,Series,"['Andrew Lincoln', 'Norman Reedus', 'Melissa McBride', 'Lauren Cohan']",
Rick and Morty,2013,Ongoing,"['Animation', 'Adventure', 'Comedy']",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,9.2,414849,23,,Series,"['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",
Outer Banks,2020,Ongoing,"['Action', 'Crime', 'Drama']",A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,7.6,25858,50,,Series,"['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'Jonathan Daviss']",
Dexter,2006,2013,"['Crime', 'Drama', 'Mystery']","By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",8.6,665387,53,,Series,"['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar']",
Never Have I Ever,2020,Ongoing,['Comedy'],"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",7.9,34530,30,,Series,"['Maitreyi Ramakrishnan', 'Poorna Jagannathan', 'Darren Barnet', 'John McEnroe']",
Virgin River,2019,Ongoing,"['Drama', 'Romance']","Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",7.4,27279,44,,Series,"['Alexandra Breckenridge', 'Martin Henderson', 'Colin Lawrence', 'Tim Matheson']",
Lucifer,2016,2021,"['Crime', 'Drama', 'Fantasy']",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,8.1,264222,42,,Series,"['Tom Ellis', 'Lesley-Ann Brandt', 'Lauren German', 'D.B. Woodside']",
Sex/Life,2021,Ongoing,"['Comedy', 'Drama', 'Romance']",A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,5.4,12172,,,Series,"['Sarah Shahi', 'Mike Vogel', 'Adam Demos', 'Margaret Odette']",
American Horror Story,2011,Ongoing,"['Drama', 'Horror', 'Thriller']","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",8.0,286488,60,,Series,"['Lady Gaga', 'Kathy Bates', 'Angela Bassett', 'Sarah Paulson']",
Grey's Anatomy,2005,Ongoing,"['Drama', 'Romance']",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,7.5,266258,41,,Series,"['Ellen Pompeo', 'Chandra Wilson', 'James Pickens Jr.', 'Justin Chambers']",
Breaking Bad,2008,2013,"['Crime', 'Drama', 'Thriller']",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,9.4,1552311,49,,Series,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",
The Good Doctor,2017,Ongoing,['Drama'],"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",8.1,70871,41,,Series,"['Freddie Highmore', 'Hill Harper', 'Richard Schiff', 'Antonia Thomas']",
Atypical,2017,2021,"['Comedy', 'Drama']","Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.",8.3,71544,30,,Series,"['Jennifer Jason Leigh', 'Keir Gilchrist', 'Brigette Lundy-Paine', 'Michael Rapaport']",
Stranger Things,2016,Ongoing,"['Drama', 'Fantasy', 'Horror']","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",8.7,885856,51,,Series,"['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']",
Friends,1994,2004,"['Comedy', 'Romance']",Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,8.9,880918,22,,Series,"['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",
The Flash,2014,Ongoing,"['Action', 'Adventure', 'Drama']","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",7.6,320264,43,,Series,"['Grant Gustin', 'Candice Patton', 'Danielle Panabaker', 'Carlos Valdes']",
Peaky Blinders,2013,Ongoing,"['Crime', 'Drama']","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",8.8,393414,60,,Series,"['Cillian Murphy', 'Paul Anderson', 'Helen McCrory', 'Sophie Rundle']",
He-Man and the Masters of the Universe,2021,Ongoing,"['Animation', 'Action', 'Adventure']","Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",,,,,Series,,
Vikings,2013,2020,"['Action', 'Adventure', 'Drama']","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",8.5,459913,44,,Series,"['Katheryn Winnick', 'Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",
Better Call Saul,2015,Ongoing,"['Crime', 'Drama']","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",8.8,347857,46,,Series,"['Bob Odenkirk', 'Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']",
Supernatural,2005,2020,"['Drama', 'Fantasy', 'Horror']","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",8.4,404273,44,,Series,"['Jared Padalecki', 'Jensen Ackles', 'Jim Beaver', 'Misha Collins']",
The Blacklist,2013,Ongoing,"['Crime', 'Drama', 'Mystery']","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",8.0,213522,43,,Series,"['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Ryan Eggold']",
Animal Kingdom,2016,Ongoing,"['Crime', 'Drama']","Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",8.2,26926,60,,Series,"['Shawn Hatosy', 'Ben Robson', 'Jake Weary', 'Finn Cole']",
Brooklyn Nine-Nine,2013,2022,"['Comedy', 'Crime']","Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",8.4,248583,22,,Series,"['Andy Samberg', 'Stephanie Beatriz', 'Terry Crews', 'Melissa Fumero']",
NCIS: Naval Criminal Investigative Service,2003,Ongoing,"['Action', 'Crime', 'Drama']","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",7.7,125619,60,,Series,"['Mark Harmon', 'David McCallum', 'Sean Murray', 'Pauley Perrette']",
Kingdom,2019,Ongoing,"['Action', 'Drama', 'History']","While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",8.4,34906,45,,Series,"['Ju Ji-Hoon', 'Bae Doona', 'Kim Sungkyu', 'Hye-jun Kim']",
Modern Family,2009,2020,"['Comedy', 'Drama', 'Romance']",Three different but related families face trials and tribulations in their own uniquely comedic ways.,8.4,378030,22,,Series,"[""Ed O'Neill"", 'Sofía Vergara', 'Julie Bowen', 'Ty Burrell']",
Titans,2018,Ongoing,"['Action', 'Adventure', 'Crime']",A team of young superheroes combat evil and other perils.,7.7,73656,45,,Series,"['Brenton Thwaites', 'Teagan Croft', 'Anna Diop', 'Ryan Potter']",
The Witcher,2019,Ongoing,"['Action', 'Adventure', 'Fantasy']","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",8.2,336484,60,,Series,"['Henry Cavill', 'Anna Shaffer', 'Freya Allan', 'Adjoa Andoh']",
Downton Abbey,2010,2015,"['Drama', 'Romance']",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,8.7,171804,58,,Series,"['Hugh Bonneville', 'Phyllis Logan', 'Elizabeth McGovern', 'Brendan Coyle']",
Shingeki no kyojin,2013,2022,"['Animation', 'Action', 'Adventure']","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",9.0,242582,24,,Series,"['Yûki Kaji', 'Marina Inoue', 'Josh Grelle', 'Yui Ishikawa']",
Suits,2011,2019,"['Comedy', 'Drama']","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",8.4,374263,44,,Series,"['Gabriel Macht', 'Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty']",
La casa de papel,2017,2021,"['Action', 'Crime', 'Mystery']",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,8.3,341858,70,,Series,"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",
Schitt's Creek,2015,2020,['Comedy'],"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",8.5,90728,22,,Series,"['Eugene Levy', ""Catherine O'Hara"", 'Dan Levy', 'Annie Murphy']",
Outlander,2014,Ongoing,"['Drama', 'Fantasy', 'Romance']",An English combat nurse from 1945 is mysteriously swept back in time to 1743.,8.4,134991,64,,Series,"['Caitriona Balfe', 'Sam Heughan', 'Duncan Lacroix', 'Sophie Skelton']",
The Last Kingdom,2015,Ongoing,"['Action', 'Drama', 'History']","As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",8.4,94650,60,,Series,"['Alexander Dreymon', 'Eliza Butterworth', 'Arnas Fedaravicius', 'Millie Brady']",
Black Mirror,2011,Ongoing,"['Drama', 'Sci-Fi', 'Thriller']","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",8.8,469407,60,,Series,"['Daniel Lapaine', 'Hannah John-Kamen', 'Michaela Coel', 'Beatrice Robertson-Jones']",
Ozark,2017,Ongoing,"['Crime', 'Drama', 'Thriller']","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",8.4,206090,60,,Series,"['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']",
The Crown,2016,Ongoing,"['Biography', 'Drama', 'History']",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,8.6,169517,58,,Series,"['Claire Foy', 'Olivia Colman', 'Imelda Staunton', 'Matt Smith']",
Sweet Tooth,2021,Ongoing,"['Action', 'Adventure', 'Drama']",A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,7.9,37142,,,Series,"['Nonso Anozie', 'Christian Convery', 'Adeel Akhtar', 'Stefania LaVie Owen']",
Fargo,2014,Ongoing,"['Crime', 'Drama', 'Thriller']","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",8.9,341221,53,,Series,"['Billy Bob Thornton', 'Martin Freeman', 'Allison Tolman', 'Colin Hanks']",
How I Met Your Mother,2005,2014,"['Comedy', 'Romance']",A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,8.3,624036,22,,Series,"['Josh Radnor', 'Jason Segel', 'Cobie Smulders', 'Neil Patrick Harris']",
Community,2009,2015,['Comedy'],A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,8.5,231013,22,,Series,"['Joel McHale', 'Danny Pudi', 'Donald Glover', 'Chevy Chase']",
Sons of Anarchy,2008,2014,"['Crime', 'Drama', 'Thriller']",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,8.5,270445,45,,Series,"['Charlie Hunnam', 'Katey Sagal', 'Mark Boone Junior', 'Kim Coates']",
StartUp,2016,2018,"['Crime', 'Thriller']","A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.",7.9,22971,44,,Series,"['Adam Brody', 'Edi Gathegi', 'Otmara Marrero', 'Kristen Ariza']",
The Vampire Diaries,2009,2017,"['Drama', 'Fantasy', 'Horror']","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",7.7,293434,43,,Series,"['Nina Dobrev', 'Paul Wesley', 'Ian Somerhalder', 'Kat Graham']",
How to Sell Drugs Online (Fast),2019,Ongoing,"['Comedy', 'Crime', 'Drama']","To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.",7.9,23960,30,,Series,"['Maximilian Mundt', 'Danilo Kamperidis', 'Lena Klenke', 'Damian Hardung']",
Good Girls,2018,2021,"['Comedy', 'Crime', 'Drama']",Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,7.8,38618,43,,Series,"['Christina Hendricks', 'Retta', 'Mae Whitman', 'Reno Wilson']",
13 Reasons Why,2017,2020,"['Drama', 'Mystery', 'Thriller']","Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",7.6,266386,60,,Series,"['Dylan Minnette', 'Katherine Langford', 'Christian Navarro', 'Alisha Boe']",
Legends of Tomorrow,2016,Ongoing,"['Action', 'Adventure', 'Drama']","Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",6.8,95897,42,,Series,"['Caity Lotz', 'Amy Louise Pemberton', 'Dominic Purcell', 'Nick Zano']",
Star Trek: The Next Generation,1987,1994,"['Action', 'Adventure', 'Mystery']","Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",8.6,106181,44,,Series,"['Patrick Stewart', 'Brent Spiner', 'Jonathan Frakes', 'LeVar Burton']",
Evil,2019,Ongoing,"['Crime', 'Drama', 'Horror']","A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.",7.7,15048,42,,Series,"['Katja Herbers', 'Mike Colter', 'Aasif Mandvi', 'Maddy Crocco']",
The Expanse,2015,Ongoing,"['Drama', 'Mystery', 'Sci-Fi']","In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.",8.5,119644,60,,Series,"['Wes Chatham', 'Dominique Tipper', 'Steven Strait', 'Shohreh Aghdashloo']",
New Amsterdam,2018,Ongoing,['Drama'],A new medical director breaks the rules to heal the system at America's oldest public hospital.,8.1,27709,43,,Series,"['Ryan Eggold', 'Janet Montgomery', 'Freema Agyeman', 'Jocko Sims']",
Line of Duty,2012,Ongoing,"['Crime', 'Drama', 'Mystery']","Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",8.7,46751,60,,Series,"['Martin Compston', 'Vicky McClure', 'Adrian Dunbar', 'Craig Parkinson']",
The 100,2014,2020,"['Drama', 'Mystery', 'Sci-Fi']","Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.",7.6,226962,43,,Series,"['Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos', 'Isaiah Washington']",
New Girl,2011,2018,['Comedy'],"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.",7.7,200421,22,,Series,"['Zooey Deschanel', 'Jake Johnson', 'Max Greenfield', 'Hannah Simone']",
Prison Break,2005,2017,"['Action', 'Crime', 'Drama']","Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",8.3,492438,44,,Series,"['Dominic Purcell', 'Wentworth Miller', 'Amaury Nolasco', 'Robert Knepper']",
Sex Education,2019,Ongoing,"['Comedy', 'Drama']",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,8.3,177274,45,,Series,"['Asa Butterfield', 'Gillian Anderson', 'Ncuti Gatwa', 'Emma Mackey']",
Feels Like Ishq,2021,Ongoing,"['Comedy', 'Drama', 'Romance']",Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.,6.6,848,32,,Series,"['Jojo Singh', 'Mihir Ahuja', 'Kajol Chugh', 'Sumali Khaniwale']",
Young Royals,2021,Ongoing,"['Drama', 'Romance']","Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",8.6,16954,50,,Series,"['Edvin Ryding', 'Omar Rudberg', 'Frida Argento', 'Samuel Astor']",
Shadow and Bone,2021,Ongoing,"['Action', 'Adventure', 'Drama']",Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,7.7,60283,,,Series,"['Jessie Mei Li', 'Ben Barnes', 'Archie Renaux', 'Freddy Carter']",
Mad Men,2007,2015,['Drama'],"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",8.6,216203,47,,Series,"['Jon Hamm', 'Elisabeth Moss', 'Vincent Kartheiser', 'January Jones']",
Élite,2018,Ongoing,"['Crime', 'Drama', 'Thriller']","When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",7.5,59730,60,,Series,"['Itzan Escamilla', 'Omar Ayuso', 'Miguel Bernardeau', 'Arón Piper']",
Gilmore Girls,2000,2007,"['Comedy', 'Drama']","A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",8.1,106650,44,,Series,"['Lauren Graham', 'Alexis Bledel', 'Keiko Agena', 'Scott Patterson']",
Sky Rojo,2021,Ongoing,"['Action', 'Adventure', 'Crime']","Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.",6.5,6940,31,,Series,"['Verónica Sánchez', 'Miguel Ángel Silvestre', 'Asier Etxeandia', 'Lali Espósito']",
Lupin,2021,Ongoing,"['Action', 'Crime', 'Drama']","Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",7.5,84428,45,,Series,"['Omar Sy', 'Ludivine Sagnier', 'Hervé Pierre', 'Soufiane Guerrab']",
Heartland,2007,Ongoing,"['Drama', 'Family']","A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",8.4,11764,45,,Series,"['Amber Marshall', 'Shaun Johnston', 'Michelle Morgan', 'Graham Wardle']",
Family Guy,1999,2022,"['Animation', 'Comedy']","In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",8.1,312584,22,,Series,"['Seth MacFarlane', 'Alex Borstein', 'Seth Green', 'Mila Kunis']",
Daredevil,2015,2018,"['Action', 'Crime', 'Drama']","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",8.6,374963,54,,Series,"['Charlie Cox', ""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson']",
Dark,2017,2020,"['Crime', 'Drama', 'Mystery']","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",8.8,312629,60,,Series,"['Louis Hofmann', 'Karoline Eichhorn', 'Lisa Vicari', 'Maja Schöne']",
Boku no hîrô akademia,2016,Ongoing,"['Animation', 'Action', 'Adventure']",A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,8.4,44367,24,,Series,"['Daiki Yamashita', 'Nobuhiko Okamoto', 'Ayane Sakura', 'Justin Briner']",
Cobra Kai,2018,Ongoing,"['Action', 'Comedy', 'Drama']","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",8.6,122268,30,,Series,"['Courtney Henggeler', 'Mary Mouser', 'Tanner Buchanan', 'Ralph Macchio']",
Kingdom,2019,Ongoing,"['Action', 'Drama', 'History']","Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""",7.1,6388,92,,Series,"['Jun Ji-hyun', 'Si-ah Kim', 'Byeong-eun Park', 'Kyo-hwan Koo']",['Seong-hun Kim']
Gotham,2014,2019,"['Action', 'Crime', 'Drama']",The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,7.8,216458,42,,Series,"['Ben McKenzie', 'Jada Pinkett Smith', 'Donal Logue', 'Camren Bicondova']",
Billions,2016,Ongoing,['Drama'],"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",8.4,74094,60,,Series,"['Paul Giamatti', 'Damian Lewis', 'Maggie Siff', 'David Costabile']",
Agents of S.H.I.E.L.D.,2013,2020,"['Action', 'Adventure', 'Drama']","The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",7.5,205119,45,,Series,"['Clark Gregg', 'Ming-Na Wen', 'Brett Dalton', 'Iain De Caestecker']",
Arrow,2012,2020,"['Action', 'Adventure', 'Crime']","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",7.5,414712,42,,Series,"['Stephen Amell', 'Katie Cassidy', 'David Ramsey', 'Susanna Thompson']",
Orange Is the New Black,2013,2019,"['Comedy', 'Crime', 'Drama']","Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",8.0,284554,59,,Series,"['Taylor Schilling', 'Danielle Brooks', 'Taryn Manning', 'Emma Myles']",
Gossip Girl,2007,2012,"['Drama', 'Romance']",Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,7.4,159666,42,,Series,"['Blake Lively', 'Leighton Meester', 'Penn Badgley', 'Ed Westwick']",
Bridgerton,2020,Ongoing,"['Drama', 'Romance']","Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",7.3,83944,60,,Series,"['Phoebe Dynevor', 'Regé-Jean Page', 'Nicola Coughlan', 'Jonathan Bailey']",
The Kominsky Method,2018,2021,"['Comedy', 'Drama']","An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",8.2,33440,30,,Series,"['Michael Douglas', 'Sarah Baker', 'Graham Rogers', 'Melissa Tang']",
Homeland,2011,2020,"['Crime', 'Drama', 'Mystery']",A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,8.3,322307,55,,Series,"['Claire Danes', 'Mandy Patinkin', 'Damian Lewis', 'Rupert Friend']",
Riverdale,2017,Ongoing,"['Crime', 'Drama', 'Mystery']","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",6.8,126112,45,,Series,"['K.J. Apa', 'Lili Reinhart', 'Camila Mendes', 'Cole Sprouse']",
Sherlock,2010,2017,"['Crime', 'Drama', 'Mystery']",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,9.1,839029,88,,Series,"['Benedict Cumberbatch', 'Martin Freeman', 'Una Stubbs', 'Rupert Graves']",
Queen of the South,2016,2021,"['Action', 'Crime', 'Drama']",Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.,8.0,23318,42,,Series,"['Alice Braga', 'Hemky Madera', 'Peter Gadiot', 'Veronica Falcón']",
CSI: Crime Scene Investigation,2000,2015,"['Crime', 'Drama', 'Mystery']",Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.,7.6,78589,60,,Series,"['Laurence Fishburne', 'Marg Helgenberger', 'George Eads', 'Eric Szmanda']",
The Umbrella Academy,2019,Ongoing,"['Action', 'Adventure', 'Comedy']","A family of former child heroes, now grown apart, must reunite to continue to protect the world.",8.0,175513,60,,Series,"['Elliot Page', 'Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman']",
Supergirl,2015,2021,"['Action', 'Adventure', 'Drama']",The adventures of Superman's cousin in her own superhero career.,6.2,115373,43,,Series,"['Melissa Benoist', 'Chyler Leigh', 'David Harewood', 'Mehcad Brooks']",
BoJack Horseman,2014,2020,"['Animation', 'Comedy', 'Drama']","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",8.7,124318,25,,Series,"['Will Arnett', 'Amy Sedaris', 'Alison Brie', 'Aaron Paul']",
I Think You Should Leave with Tim Robinson,2019,Ongoing,['Comedy'],"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.",7.8,8095,16,,Series,"['Tim Robinson', 'Sam Richardson', 'Patti Harrison', ""Conner O'Malley""]",
South Park,1997,Ongoing,"['Animation', 'Comedy']","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",8.7,340148,22,,Series,"['Trey Parker', 'Matt Stone', 'Isaac Hayes', 'Mona Marshall']",
Once Upon a Time,2011,2018,"['Adventure', 'Fantasy', 'Romance']",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,7.7,212616,60,,Series,"['Ginnifer Goodwin', 'Jennifer Morrison', 'Lana Parrilla', 'Robert Carlyle']",
Star Trek: Discovery,2017,Ongoing,"['Action', 'Adventure', 'Drama']","Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",7.2,101079,60,,Series,"['Sonequa Martin-Green', 'Doug Jones', 'Anthony Rapp', 'Mary Wiseman']",
Teen Wolf,2011,2017,"['Action', 'Drama', 'Fantasy']",An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,7.6,132950,41,,Series,"['Tyler Posey', 'Holland Roden', ""Dylan O'Brien"", 'Linden Ashby']",
How to Get Away with Murder,2014,2020,"['Crime', 'Drama', 'Mystery']",A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,8.1,136135,43,,Series,"['Viola Davis', 'Billy Brown', 'Jack Falahee', 'Aja Naomi King']",
Star Trek: Deep Space Nine,1993,1999,"['Action', 'Adventure', 'Drama']","In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.",8.0,55687,45,,Series,"['Avery Brooks', 'Rene Auberjonois', 'Cirroc Lofton', 'Alexander Siddig']",
Seinfeld,1989,1998,['Comedy'],The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,8.8,264801,22,,Series,"['Jerry Seinfeld', 'Julia Louis-Dreyfus', 'Michael Richards', 'Jason Alexander']",
