title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
Sky Rojo,2021,Ongoing,"['Action', 'Adventure', 'Crime']",Coral proposes a new plan to get revenge on Romeo. Wendy has an idea of who can help them. Moisés and Christian struggle with their latest obstacle.,7.0,79,,,Series,"['Verónica Sánchez', 'Miguel Ángel Silvestre', 'Asier Etxeandia', 'Lali Espósito']",['David Victori']
Sky Rojo,2021,Ongoing,"['Action', 'Adventure', 'Crime']",Gina finds a creative solution for their weapons problem while Wendy confronts Fermín about his actions. Romeo reminds Christian of their history.,7.2,73,,,Series,"['Verónica Sánchez', 'Miguel Ángel Silvestre', 'Asier Etxeandia', 'Lali Espósito']",['Albert Pintó']
The Drew Barrymore Show,2020,Ongoing,['Talk-Show'],"Drew will talks to New York Times best-selling author and former Editor-in-Chief of Teen Vogue Elaine Welteroth about her joining The Talk, her 15 Percent Pledge and much more. And The Prom...",,,44,,Series,"['Drew Barrymore', 'Elaine Welteroth', 'Andrew Rannells', 'Dennis Setteducati']",
Hache,2019,2021,"['Crime', 'Drama', 'Thriller']","Hache is given just one week to get her lab running. The surprise arrival of a relative adds to her stress, but Ventura provides an escape from it.",6.8,23,,,Series,"['Adriana Ugarte', 'Eduardo Noriega', 'Marc Martínez', 'Pep Ambròs']",['Jorge Torregrossa']
Hache,2019,2021,"['Crime', 'Drama', 'Thriller']","Laforet pays a visit to see the lab and offers Hache a deal. Mateo tries to woo Mirta, who makes a demand. Camino confesses a secret to her husband.",7.1,20,,,Series,"['Adriana Ugarte', 'Eduardo Noriega', 'Marc Martínez', 'Pep Ambròs']",['Fernando Trullols']
Hache,2019,2021,"['Crime', 'Drama', 'Thriller']",Vinuesa eagerly investigates the incident at the club. Arístides tries to smooth things over with Pío. Hache runs into Celeste in an unexpected place.,7.1,18,,,Series,"['Adriana Ugarte', 'Eduardo Noriega', 'Marc Martínez', 'Pep Ambròs']",['Fernando Trullols']
Hache,2019,2021,"['Crime', 'Drama', 'Thriller']","The heroin is finally ready to ship, but Hache needs Arístides' help to fly it out of Barcelona. An argument between Camino and Piero gets out of hand.",7.2,19,,,Series,"['Adriana Ugarte', 'Eduardo Noriega', 'Marc Martínez', 'Pep Ambròs']",['Jorge Torregrossa']
Hache,2019,2021,"['Crime', 'Drama', 'Thriller']",A sudden loss brings Luciano to Barcelona to investigate. Camino's nerves threaten to betray her to the police. Silvia reaches her limit with Vinuesa.,7.4,24,,,Series,"['Adriana Ugarte', 'Eduardo Noriega', 'Marc Martínez', 'Pep Ambròs']",['Jorge Torregrossa']
Son of Abish,2014,Ongoing,"['Comedy', 'Talk-Show']","Watch this episode of Son of Abish to know exactly how clean Kenny Sebastian's bike is, who Pearle Maaney's father really is, and what Abish's idea of couples is.",,,,,Series,"['Abish Mathew', 'Pearle Maaney', 'Kenneth Sebastian', 'Nikhil Kini']",
The Upshaws,2021,Ongoing,['Comedy'],"With Bennie back in the house and bonding more with the kids, Regina's frustration starts to show. After she takes the GMAT, the family comes together.",8.3,40,,,Series,"['Mike Epps', 'Kim Fields', 'Diamond Lyons', 'Wanda Sykes']",['Sheldon Epps']
