show,year,summary,rating,votes,run_time,actors,director
13 Reasons Why,2017,"The police question Tyler about the guns, leaving the friends rattled. Winston transfers to Liberty High after getting expelled from Hillcrest.",5.7,1798,59,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Russell Mulcahy
13 Reasons Why,2017,"After an incident at school, Clay thinks someone's trying to set him up. Zach and Clay land in hot water during a college tour.",5.7,1597,58,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Russell Mulcahy
13 Reasons Why,2017,Clay is forced to confront his anxiety on the senior camping trip as a suspicious email threatens to turn the friends against each other.,5.1,1714,59,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Michael Sucsy
13 Reasons Why,2017,"In the wake of the lockdown, the school is on edge -- and a troubling abuse of power pushes the students to take action.",6.2,1619,57,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Sunu Gonera
13 Reasons Why,2017,"The Jensens make the boys take a drug test. When the Liberty parents learn about an upcoming party, Clay suspects that they're tracking the students.",6.1,1507,57,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Brenda Strong
13 Reasons Why,2017,"The school goes into lockdown and Clay, Tony and Justin worry about Tyler's whereabouts.",6.6,1694,61,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Brenda Strong
13 Reasons Why,2017,"As the school gears up for the Love Is Love dance on Valentine's Day, disturbing phone calls keep Clay from getting in the spirit.",5.6,1635,59,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Michael Sucsy
13 Reasons Why,2017,Clay's mental health continues to decline as the friends wrestle with difficult emotions during their college admissions interviews.,5.9,1420,60,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Sunu Gonera
13 Reasons Why,2017,"When the dean begins a new investigation and threatens to cancel prom, the friends decide to confide in their parents...but not about everything.",6.8,1640,60,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Tommy Lohmann
13 Reasons Why,2017,"Strengthened by the struggles they've endured, the friends say goodbye to high school and look toward the future in an emotional series finale.",7.7,2312,98,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe",Brian Yorkey
1899,2022,,,,,"Aneurin Barnard, Anton Lesser, Mathilde Ollivier, Alexandre Willaume",Baran bo Odar
1899,2022,,,,,,Baran bo Odar
3Below: Tales of Arcadia,2018,"Left vulnerable after Omen's attack, the royal heirs look to conceal their damaged ship but are soon confronted by the bounty hunter Magmatron.",7.9,143,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Glenn Close",Andrew L. Schmidt
3Below: Tales of Arcadia,2018,"Aja and Krel enlist Stuart to help find their former ally, who's being held prisoner at a bounty hunter outpost on the moon.",8.0,141,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Nick Frost",Johane Matte
3Below: Tales of Arcadia,2018,"With General Morando's invasion of Earth imminent, Krel tries to stop the fleet's advance with unwitting help from the kids of Arcadia.",7.5,136,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Glenn Close",Elaine Bogan
3Below: Tales of Arcadia,2018,"Mother, the AI controlling the royals' ship, reflects on keeping the peace between her quarreling family. Morando discovers a secret hidden on Earth.",7.6,137,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Nick Frost",Andrew L. Schmidt
3Below: Tales of Arcadia,2018,Colonel Kubritz stages a phony quarantine of Arcadia High School in a ploy to capture the royals -- and their advanced weapons technology.,7.8,139,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Glenn Close","Elaine Bogan, Francisco Ruiz-Velasco"
3Below: Tales of Arcadia,2018,"Stuart gets an unexpected visit from his ex-girlfriend. Krel helps Toby and Eli produce a short film, ""Kleb or Alive,"" for a local contest.",7.2,135,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Nick Frost",Johane Matte
3Below: Tales of Arcadia,2018,"Unable to stop an asteroid hurtling toward Earth, Kubritz pleads with the royals to help destroy it by offering stored alien technology from Area 49B.",8.0,146,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Glenn Close",Andrew L. Schmidt
3Below: Tales of Arcadia,2018,"Krel builds a prototype device that will create a wormhole back to Akiridion-5, but Luug swallows it whole before it can be tested further.",7.2,133,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Glenn Close",Johane Matte
3Below: Tales of Arcadia,2018,The last defenders of House Tarron face off against General Morando and his army of Omen robots in an all-out battle for survival.,8.3,137,23,"Tatiana Maslany, Diego Luna, Nick Offerman, Glenn Close","Elaine Bogan, Francisco Ruiz-Velasco"
3Below: Tales of Arcadia,2018,"With General Morando searching for Gaylen's Core, Aja and Krel must travel into their parents' subconscious to learn the core's location first.",8.5,142,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Glenn Close",Rodrigo Blaas
3Below: Tales of Arcadia,2018,"After learning the location of Gaylen's Core, Toby calls Trollhunter Jim Lake, and Blinky advises the royals to consult the Soothscryer.",8.6,138,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Alon Aboutboul",Andrew L. Schmidt
3Below: Tales of Arcadia,2018,"As the town of Arcadia gathers for the premiere of ""Kleb or Alive,"" an army of Omens, led by an armored Kubritz, makes plans to lure out the royals.",8.5,133,,"Tatiana Maslany, Diego Luna, Nick Offerman, Alon Aboutboul",Francisco Ruiz-Velasco
3Below: Tales of Arcadia,2018,"With the fate of the universe at stake, the royal heirs and their allies must gather their forces for the ultimate battle to defeat General Morando.",8.6,148,22,"Tatiana Maslany, Diego Luna, Nick Offerman, Alon Aboutboul","Rodrigo Blaas, Johane Matte"
3Below: Tales of Arcadia,2018,"Trolls, humans, gnomes and aliens alike all manner of creatures stop to celebrate the new year. Because who doesn't love a good party?",7.6,5,1,,
50M2,2021,"While seeking answers about his parents, Shadow reveals a dark truth linked to his long-time benefactor, Servet, who employs him as his right-hand man.",6.9,148,51,"Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt, Aybüke Pusat",Selçuk Aydemir
50M2,2021,"Muhtar opens up his home to Shadow. Shadow offers Mümtaz a deal in exchange for protection from Servet, but his scheme backfires.",7.2,128,47,"Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt, Aybüke Pusat",Selçuk Aydemir
50M2,2021,"Shadow attempts to flee the country, Servet confronts Mümtaz about the weapons and a flashback jogs Shadow's memory of a loved one's death.",7.1,113,45,"Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt, Aybüke Pusat",Selçuk Aydemir
50M2,2021,Shadow warns Muhtar about Mesut's designs on the neighborhood. A heartbroken Civan becomes caught between Mesut and Shadow.,7.2,112,48,"Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt, Aybüke Pusat",Selçuk Aydemir
50M2,2021,Underground boss Azrail approaches Shadow about a missing package. Özlem knocks on Mesut's door. Servet struggles with guilt.,7.2,108,44,"Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt, Aybüke Pusat",Burak Aksak
50M2,2021,Muhtar and Dilara face the risk of losing their pastry shop. Özlem helps Mesut cover his tracks after their plan runs amok.,7.5,111,47,"Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt, Aybüke Pusat",Burak Aksak
50M2,2021,Civan crosses paths with Servet and makes a business proposal. Yakup leads a figure from Adem's past to Shadow's doorstep.,7.5,112,46,"Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt, Aybüke Pusat",Burak Aksak
50M2,2021,"A gift leads Yakup to suspect Shadow's identity, Civan serves Mesut his comeuppance and Servet reveals to Shadow a shocking truth.",7.8,124,64,"Engin Öztürk, Kürsat Alniaçik, Cengiz Bozkurt, Aybüke Pusat",Burak Aksak
7Seeds,2019,"Convinced that Botan has kidnapped them, Natsu and Arashi sneak out of camp and run into another survivor. Finally, Botan reveals what she knows.",6.9,48,24,"Morgan Berry, Amber Lee Connors, Elissa Cuellar, Jun Fukuyama",
7Seeds,2019,"Natsu's clumsiness indirectly leads Team Summer B to the rest of their group. Her memories help them figure out their location, and their next moves.",6.9,43,24,"Morgan Berry, Clint Bickham, Amber Lee Connors, Greg Cote",
7Seeds,2019,"Arashi, Natsu and Semimaru stumble upon the Team Autumn settlement in the former Kobe region. They seem to be thriving, but their leaders are tyrants.",6.9,41,26,"Bryson Baugus, Amber Lee Connors, Greg Cote, Elissa Cuellar",
7Seeds,2019,"In the ruins of Tokyo, Natsu, Arashi and Semimaru meet the sole survivor of Team Winter. Team Spring reaches Mt. Ogino Fuji and finds Natsu's message.",7.1,40,24,"Amber Lee Connors, Greg Cote, Elissa Cuellar, Justin Doran",
7Seeds,2019,"Aramaki joins Team Spring, despite Fujiko's doubts. Hana decides to search for Arashi after hearing that Aramaki met someone who fits his description.",7.1,40,26,"Morgan Berry, Amber Lee Connors, Elissa Cuellar, Justin Doran",
7Seeds,2019,Hana and her companions discover a massive underground shelter. They find a survivor's diary and learn the cruel fate of those who took refuge there.,7.7,41,31,"Ryan Anthony, Bryson Baugus, Clint Bickham, Sam Butler",
7Seeds,2019,Hana's group and the Team Autumn survivors find the Spring settlement destroyed and abandoned. Momotaro wakes up among strangers.,6.7,34,24,"Bryson Baugus, Morgan Berry, Clint Bickham, Amber Lee Connors",
7Seeds,2019,"To survive, Hana and the others work together with Team Summer A. On the ship, Hotaru's cousin Hibari tells Natsu that Hotaru is slowly dying.",7.2,32,24,"Bryson Baugus, Luci Christian, Amber Lee Connors, Justin Doran",
7Seeds,2019,Ango recalls his harsh upbringing in the program and the brutal graduation test that winnowed the survivors down to the final Team Summer A members.,7.8,34,26,"Ryan Anthony, Luci Christian, Amber Lee Connors, Patricia Duran",
7Seeds,2019,Hana becomes convinced that Ango will kill her if she stays in the village. Natsu and the others make landfall near the former Autumn settlement.,7.5,32,24,"Bryson Baugus, Morgan Berry, Clint Bickham, Amber Lee Connors",
7Seeds,2019,"Ryo orders Hana to join him in searching for a water source underground, putting her in a vulnerable position. In the caves, Ango recalls Shigeru.",7.7,39,26,"Amber Lee Connors, Justin Doran, Patricia Duran, Jun Fukuyama",
7Seeds,2019,Team Summer A banishes Ango and Ryo as Haru and the others mourn the missing Hana. Aramaki leaves the settlement believing she is still alive.,7.0,26,24,"Bryson Baugus, Amber Lee Connors, Justin Doran, Patricia Duran",
7Seeds,2019,"Expecting a trap, Ango and Ryo find and observe Team Summer B, but they are unexpectedly welcomed by the easygoing group.",6.7,22,24,"Morgan Berry, Clint Bickham, Caitlynn French, Adam Gibbs",
7Seeds,2019,"The two newcomers help Team Summer B. As they get to know the group, Ryo doubts their ability to survive. Ango begins to see Natsu as Shigeru.",6.8,22,24,"Morgan Berry, Clint Bickham, Justin Doran, Patricia Duran",
7Seeds,2019,"The carefree group enjoys life at sea, but Ryo tests their survival skills. Natsu reveals that Team Summer B is for dropouts, angering Ango.",7.0,23,24,"Morgan Berry, Clint Bickham, Shannon Emerick, Caitlynn French",
7Seeds,2019,"Suspicious, Botan searches Ryo and Ango's belongings while the others look for Arashi. Elsewhere, another survivor learns about the wilderness.",6.8,22,24,"Morgan Berry, Shelley Calene-Black, Amber Lee Connors, Caitlynn French",
7Seeds,2019,"Team Summer B gets stuck in a bed of dense algae. they find a large ship and investigate, but Botan is wary. Stranded, Arashi sees the ship's kite.",6.7,21,24,"Christine M. Auten, Morgan Berry, Clint Bickham, Amber Lee Connors",
7Seeds,2019,The team members are separated after the ship's sudden movement. Arashi makes his way to help as Botan's group makes a discovery.,6.8,22,24,"Christine M. Auten, Morgan Berry, Clint Bickham, Marty Fleck",
7Seeds,2019,Ango's hallucinations lead to perilous situations for him and Arashi. Semimaru has a brush with death while Natsu gathers her courage.,6.7,21,24,"Morgan Berry, Amber Lee Connors, Shannon Emerick, Marty Fleck",
7Seeds,2019,"A sanctuary in nature becomes a trap for small mammals and humans alike. Meanwhile, an iron-eating bacteria begins to spread throughout the ship.",7.1,23,25,"Morgan Berry, Amber Lee Connors, Shannon Emerick, Caitlynn French",
7Seeds,2019,"Fujiko and Chisa reunite with Hana. On the ship, the missiles begin launch prep while Team Summer B learns about Ango's past and the test.",6.8,24,24,"Amber Lee Connors, Elissa Cuellar, Shannon Emerick, Adam Gibbs",
7Seeds,2019,"Hana readjusts to other humans. Team Summer B works together to manually disable the missiles, but a series of passcodes complicates the process.",7.8,26,24,"Morgan Berry, Amber Lee Connors, Elissa Cuellar, Caitlynn French",
7Seeds,2019,Problems persist in the ship as the spreading bacteria begins attacking. The missile countdown continues as the team makes a mad dash to exit.,7.8,26,24,"Morgan Berry, Clint Bickham, Amber Lee Connors, Caitlynn French",
800 metros,2021,,,,,,León Siminiani
A Suitable Boy,2020,"Lata continues to pursue a relationship with Kabir Durrani, despite knowing her mother would disapprove of the match. When news that her daughter has been seen with an unsuitable boy reaches Rupa she takes action to keep them apart.",6.1,156,58,"Tanya Maniktala, Danesh Razvi, Boloram Das, Mahira Kakkar",Mira Nair
A Suitable Boy,2020,"In newly independent India, passionate literature student Lata Mehra defies tradition and her meddling mother's wish to choose her a husband.",6.2,239,58,"Tanya Maniktala, Mahira Kakkar, Vivaan Shah, Rasika Dugal",Mira Nair
A Suitable Boy,2020,"Sparks fly as Lata is reunited with Kabir, while self-starter Haresh faces up to the biggest challenge of his career. Meanwhile, Maan returns to Saeeda Bai.",6.3,119,58,"Tanya Maniktala, Geeta Agrawal Sharma, Ishaan Khattar, Gagandev Riar",Shimit Amin
A Suitable Boy,2020,"As India's first national democratic election approaches, Lata finds herself courted by three very different suitors.",6.3,122,58,"Bugs Bhargava Krishna, Danesh Razvi, Tanya Maniktala, Sharvari Deshpande",Mira Nair
A Suitable Boy,2020,"Rupa enlists a friend to find her headstrong daughter a husband. In exile, Maan starts to enjoy village life.",6.1,136,,"Mahira Kakkar, Vivek Gomber, Tanya Maniktala, Danesh Razvi",Mira Nair
A Suitable Boy,2020,"Lata makes a surprising decision about her future, as pressure on Maan's family mounts after his disgrace.",6.2,121,58,"Ishaan Khattar, Jeevan Singh Rawat, Aamir Bashir, Shubham Saraf",Mira Nair
"Ada Twist, Scientist",2021,,,,,,
After Life,2019,"Determined to be kind but still struggling to be happy, Tony attends a Zen meditation course with Matt, whose own marriage is on the rocks.",7.9,1942,27,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan",Ricky Gervais
After Life,2019,Lenny's girlfriend's son takes a position at the Gazette. Sandy contemplates writing a gossip column. Matt gets iffy advice from his therapist.,7.9,1755,27,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan",Ricky Gervais
After Life,2019,"A turn of events at the paper hits Sandy hard. Roxy and Pat share a meal, and Tony tries to support Matt's desire to get back out there.",8.1,1696,31,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan",Ricky Gervais
After Life,2019,"Tony interviews a local woman addicted to corrective surgery. Later, he holds back the snark in hopes of cheering up Kath.",8.3,1667,26,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan",Ricky Gervais
After Life,2019,The curtain goes up on the community theater revue and things go about as well as can be expected. Tony receives devastating news.,8.5,1716,28,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan",Ricky Gervais
After Life,2019,"Grieving over another loss, Tony asks his friends and co-workers for space, not sympathy. Later, he wrestles with what it means to move on.",9.0,2245,30,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan",Ricky Gervais
Age of Samurai: Battle for Japan,2021,"Considered a fool and unfit to lead, Nobunaga rises to power as the leader of the Oda clan, spurring dissent among those in his family vying for control.",7.4,215,43,"Hiro Kanagawa, Masayoshi Haneda, Masami Kosaka, Hayate Masao",Stephen Scott
Age of Samurai: Battle for Japan,2021,"Nobunaga angers warlords when he captures most of central Japan and ignites a fierce war with Takeda Shingen, a formidable daimyo.",7.4,177,42,"Hiro Kanagawa, Masayoshi Haneda, Masami Kosaka, Hayate Masao",Stephen Scott
Age of Samurai: Battle for Japan,2021,"As Nobunaga's ambitions intensify, some generals begin to question his command, leading to a betrayal that alters the political landscape forever.",7.6,167,42,"Hiro Kanagawa, Masayoshi Haneda, Masami Kosaka, Hayate Masao",Stephen Scott
Age of Samurai: Battle for Japan,2021,"Toyotomi Hideyoshi ascends to power as the de facto ruler of Japan. Still, Date Masamune, a young daimyo in the north ignores his missives.",7.4,157,43,"Hiro Kanagawa, Masami Kosaka, Hayate Masao, Hideaki Itô",Stephen Scott
Age of Samurai: Battle for Japan,2021,"With the country unified, Hideyoshi plans to expand his reign to China. Logistical challenges and fierce operation in Korea prove to be costly.",7.5,142,43,"Hiro Kanagawa, Masami Kosaka, Hayate Masao, Hideaki Itô",Stephen Scott
Age of Samurai: Battle for Japan,2021,"A dying Hideyoshi appoints five regents to govern til his son comes of age, but the power hungry Tokugawa Ieyasu declares war on those who oppose him.",7.4,138,44,"Hiro Kanagawa, Hayate Masao, Hideaki Itô, Yohei Matsukado",Stephen Scott
Alex,2017,,7.3,28,,"Dragomir Mrsic, Rakel Wärmländer, Maximilian Alonso Mrsic, Stefan Gödicke",Alain Darborg
Alex,2017,,7.5,28,,"Helena Af Sandeberg, Zahraa Aldoujaili, Abdirizak Farah Ali, Robert Andersson",Alain Darborg
Alex,2017,,7.6,27,,"Helena Af Sandeberg, Zahraa Aldoujaili, Abdirizak Farah Ali, Robert Andersson",Alain Darborg
Alex,2017,,7.6,25,,"Helena Af Sandeberg, Zahraa Aldoujaili, Abdirizak Farah Ali, Robert Andersson",Alain Darborg
Alex,2017,,7.0,27,,"Helena Af Sandeberg, Zahraa Aldoujaili, Abdirizak Farah Ali, Robert Andersson",Alain Darborg
Alice in Borderland,2020,"Arisu and his friends run into a public bathroom to hide from the police, but when they reemerge, the streets of Tokyo are suddenly completely empty.",7.6,977,47,"Kento Yamazaki, Tao Tsuchiya, Keita Machida, Yûki Morinaga",Shinsuke Sato
Alice in Borderland,2020,"Leaving an injured Chota, Arisu and Karube head out to gain more experience. They come to a sprawling apartment block, where a deadly game of tag awaits.",8.0,848,47,"Kento Yamazaki, Tao Tsuchiya, Keita Machida, Yûki Morinaga",Shinsuke Sato
Alice in Borderland,2020,"With Chota and Shibuki's visas fast expiring, the four enter a vast botanical garden in Shinjuku, where they take part in a cruel game of betrayal.",8.3,1010,42,"Kento Yamazaki, Tao Tsuchiya, Keita Machida, Yûki Morinaga",Shinsuke Sato
Alice in Borderland,2020,"Arisu is overwhelmed with guilt and ready to give up, but Usagi urges him to keep going. next up is a game of endurance in an underground highway.",7.4,754,47,"Kento Yamazaki, Tao Tsuchiya, Keita Machida, Yûki Morinaga",Shinsuke Sato
Alice in Borderland,2020,"After Arisu and Usagi find their way to the Beach, the king of the so-called utopian haven forces them to help gather the remaining playing cards.",6.9,708,51,"Shôhei Abe, Tsuyoshi Abe, Shô Aoyagi, Aya Asahina",Shinsuke Sato
Alice in Borderland,2020,Chishiya recruits Arisu and Usagi to help him change the status quo. An unforeseen event rocks the fragile power dynamics of the Beach.,7.5,662,41,"Tsuyoshi Abe, Shô Aoyagi, Aya Asahina, Nobuaki Kaneko",Shinsuke Sato
Alice in Borderland,2020,"Once a safe haven, the Beach becomes the arena for the next stage, where an epic witch hunt turns everyone against each other in a hostile showdown.",7.8,671,48,"Tsuyoshi Abe, Shô Aoyagi, Aya Asahina, Nobuaki Kaneko",Shinsuke Sato
Alice in Borderland,2020,"Tensions inside the resort reach a boiling point. As the game clock nears zero, those who've survived the onslaught now face an uncertain future.",7.9,732,52,"Tsuyoshi Abe, Shô Aoyagi, Aya Asahina, Nobuaki Kaneko",Shinsuke Sato
Alta mar,2019,"After The Arrival of Survivals, the Crew continue hunting Eva and Carolina's Father and leading us to new mysteries to uncover.",7.5,126,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Manuel Gómez Pereira
Alta mar,2019,Whispers Continue to flow about the new passenger capabilities But Eva wouldn't make peace with that.,7.4,109,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Manuel Gómez Pereira
Alta mar,2019,Casandra conducts a meeting and convinces more people about the presence of a ghost on the ship. Verónica feels conflicted. Natalia worries about Clara.,7.4,101,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Lino Escalera
Alta mar,2019,Carolina starts to distrust Fernando. Eva attempts to learn more about Rosa Marín as strange events keep occurring. Dimas makes a startling discovery.,7.3,98,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Lino Escalera
Alta mar,2019,Eva and Nicolás work together to uncover the truth about Casandra. Fernando's denials are met with doubts. Natalia starts discrediting Clara.,7.7,95,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Manuel Gómez Pereira
Alta mar,2019,A letter and a new witness create more confusion about Rosa Marín's disappearance. Clara's grief and trauma overwhelm her.,7.7,95,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Manuel Gómez Pereira
Alta mar,2019,,7.7,93,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Lino Escalera
Alta mar,2019,"As the ship pulls into port at Rio de Janeiro, Nicolás searches for the gold, Eva looks for her missing sister and devastating secrets come to light.",7.0,111,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Lino Escalera
Alta mar,2019,"The Bárbara de Braganza prepares to set sail for Mexico, but first, Eva is asked to help undercover agents find a man harboring a virus.",7.9,91,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Lino Escalera
Alta mar,2019,"When a serious crime occurs aboard the ship, Fabio warns Eva their mission is becoming dangerous. Carolina becomes entangled in the mystery.",7.6,79,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Lino Escalera
Alta mar,2019,The Bárbara de Braganza is attacked on multiple fronts just as the virus starts spreading and the passengers and crew attempt to procure a vaccine.,6.4,100,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Lino Escalera
Alta mar,2019,"As the crimes continue, Eva's involvement raises suspicions. Fabio distrusts Carolina. The crew begins to have doubts about the captains abilities.",8.0,75,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Federico Untermann
Alta mar,2019,"When Fabio gets detained, Eva tries to find Steve's photograph. Carmen's prisoner attempts an escape.",8.0,73,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Federico Untermann
Alta mar,2019,Verónica seeks help for the bandaged woman traveling with Carmen. Nicolás wonders why the Bárbara de Braganza changes course. Fabio interrogated Ayala.,7.7,77,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín",Lino Escalera
American Experience,1988,"In 1931, Honolulu's tropical tranquility was shattered when a young Navy wife made an allegation of rape against five islanders.",6.8,194,53,"Thalia Massie, Thomas Massie, Grace Hubbard Fortescue, Kanalu Young","Mark Zwonitzer, Michael Chin"
Anne,2017,"Anne's search takes her back to the orphanage, where she's forced to confront new realities. Meanwhile, Elijah pays a visit to Avonlea.",9.0,1541,44,"Amybeth McNulty, Geraldine James, R.H. Thomson, Lucas Jade Zumann",Kim Nguyen
Anne,2017,The students sit for the Queens entrance exams.,9.2,1524,44,"Amybeth McNulty, Geraldine James, R.H. Thomson, Dalila Bela",Amanda Tapping
Anne,2017,The Cuthberts gain a new perspective on Prince Edward Island,9.1,1475,44,"Amybeth McNulty, Geraldine James, R.H. Thomson, Lucas Jade Zumann",Norma Bailey
Anne,2017,"Ka'kwet travels to school, while Anne embarks on the next phase of her quest.",9.1,1477,44,"Amybeth McNulty, Geraldine James, R.H. Thomson, Dalila Bela",Norma Bailey
Anne,2017,Matthew and Anne journey to help Ka'kwet.,9.2,1499,44,"Amybeth McNulty, Geraldine James, R.H. Thomson, Dalmar Abuzeid",Paul Fox
Anne,2017,"As Easter approaches, Mary's illness brings change to Avonlea.",9.4,1761,44,"Amybeth McNulty, Geraldine James, R.H. Thomson, Cara Ricketts",Anne Wheeler
Anne,2017,A dance rehearsal generates sparks (and tension).,9.2,1556,44,"Amybeth McNulty, Geraldine James, R.H. Thomson, Dalila Bela",Paul Fox
Anne,2017,Anne rallies the town to speak out against injustice.,9.3,1611,44,"Amybeth McNulty, Geraldine James, R.H. Thomson, Dalila Bela",Paul Fox
Anne,2017,Anne steps into the next chapter of her life.,9.6,2178,44,"Amybeth McNulty, Geraldine James, R.H. Thomson, Lucas Jade Zumann",Amanda Tapping
Arcane,2021,,,,,,
Army of the Dead: Lost Vegas,2022,,,,,"Tig Notaro, Yetide Badaki, Monica Barbaro, Ross Butler",
Aseudal Yeondaegi,2019,"Sanung and the Saram propose an alliance with the Neanthal, a human-like race of monsters, but when things don't go as expected, Tagon takes command of the Great Hunt.",8.3,202,80,"Song Joong-ki, Kim Ji-Won, Eui-sung Kim, Park Hyoung-soo",Won Suk Kim
Aseudal Yeondaegi,2019,The villagers cast suspicion on Eunseom upon learning that he has dreams. Tanya questions her destiny. Tagon greets his men in an unlikely place.,8.9,191,80,"Song Joong-ki, Kim Ji-Won, Jang Dong-Gun, Kim Ok-bin",Won Suk Kim
Aseudal Yeondaegi,2019,,8.6,157,80,"Song Joong-ki, Kim Ji-Won, Jang Dong-Gun, Kim Ok-bin",Won Suk Kim
Aseudal Yeondaegi,2019,,8.9,146,80,"Song Joong-ki, Kim Ji-Won, Jang Dong-Gun, Kim Ok-bin",Won Suk Kim
Aseudal Yeondaegi,2019,,8.7,136,80,"Song Joong-ki, Kim Ji-Won, Jang Dong-Gun, Kim Ok-bin",Won Suk Kim
Aseudal Yeondaegi,2019,,8.8,139,80,"Song Joong-ki, Kim Ji-Won, Jang Dong-Gun, Kim Ok-bin",Won Suk Kim
Ask 101,2020,"After wreaking havoc at school, Eda, Osman, Sinan and Kerem realize that compassionate teacher Burcu is their only hope against expulsion.",7.1,377,,"Kubilay Aka, Mert Yazicioglu, Alina Boz, Selahattin Pasali",Ahmet Katiksiz
Ask 101,2020,"With Isik's help, the group sets up Burcu and Kemal on a date at a rock concert. Afterward, Kemal offers to drive Burcu home.",7.6,345,,"Kubilay Aka, Mert Yazicioglu, Alina Boz, Selahattin Pasali",Ahmet Katiksiz
Ask 101,2020,"Burcu and Kemal feel a spark, Eda keeps Kerem at arm's length, and Sinan remains reluctant to open up to Isik.",7.9,343,,"Kubilay Aka, Mert Yazicioglu, Alina Boz, Selahattin Pasali",Ahmet Katiksiz
Ask 101,2020,"Isik encourages Eda to pursue her dreams. After putting Tuncay through a test, the group realizes he's unworthy of Burcu.",7.6,320,,"Kubilay Aka, Mert Yazicioglu, Alina Boz, Selahattin Pasali",Ahmet Katiksiz
Ask 101,2020,Osman lures Tuncay into his business scheme - with unexpected consequences. Isik creates an excuse for Burcu and Kemal to work together.,7.6,312,,"Kubilay Aka, Mert Yazicioglu, Alina Boz, Selahattin Pasali",Deniz Yorulmazer
Ask 101,2020,"Eda, Isik and Burcu bond over wine and talk about love. Adult Isik reminisces about the evening when the group celebrated her birthday on the Bosporus.",7.9,342,,"Kubilay Aka, Mert Yazicioglu, Alina Boz, Selahattin Pasali",Deniz Yorulmazer
Ask 101,2020,"Tuncay shares unpleasant news with Burcu. An incident at the school lab proves to be the last straw for Necdet, and the crew faces imminent expulsion.",8.2,368,,"Kubilay Aka, Mert Yazicioglu, Alina Boz, Selahattin Pasali",Deniz Yorulmazer
Ask 101,2020,The teachers offer the group one last chance - in exchange for a humiliating public apology. Kemal and Burcu learn the truth about the setup.,7.6,344,,"Kubilay Aka, Mert Yazicioglu, Alina Boz, Selahattin Pasali",Deniz Yorulmazer
Avatar: The Last Airbender,2005,Sokka and Katara have to solve a centuries-old crime when Aang is imprisoned for a murder allegedly committed by one of his past incarnations.,7.6,2871,24,"Zach Tyler, Mae Whitman, Jack De Sena, Dante Basco",Lauren MacMullan
