show,year,summary,rating,votes,run_time,actors,director
Fate: The Winx Saga,2021,Bloom continues her search for answers with Sky. Beatrix works to conceal her crime. A special guest visits Alfea - and leaves Stella feeling conflicted.,7.5,854,47,"Abigail Cowen, Hannah van der Westhuysen, Precious Mustapha, Eliot Salt",Hannah Quinn
Fate: The Winx Saga,2021,"In order to reconnect with Beatrix, Bloom seeks the help of a fellow student. Sky opens up about his past. Ms. Dowling shares more of her story.",7.7,876,50,"Abigail Cowen, Hannah van der Westhuysen, Precious Mustapha, Eliot Salt",Stephen Woolfenden
Fate: The Winx Saga,2021,"Bloom, Stella, Musa, and Terra free Beatrix who leads them to Rosalind and Bloom sets her free. Burned Ones enter the school and the Alfeans try to evacuate everyone. Can Bloom defeat the Burned Ones?",8.2,1031,53,"Abigail Cowen, Hannah van der Westhuysen, Precious Mustapha, Eliot Salt",Stephen Woolfenden
Fate: The Winx Saga,2021,,,,,"Freddie Thorp, Sadie Soverall, Theo Graham, Jacob Dudman",
Fatma,2021,"Seeking her husband Zafer's whereabouts, Fatma takes matters into her own hands and visits one of his old associates - but the meeting takes a turn.",7.5,244,,"Burcu Biricik, Ugur Yücel, Mehmet Yilmaz Ak, Gulcin Kultur Sahin","Ozer Feyzioglu, Ozgur Onurme"
Fatma,2021,Bayram asks Fatma to make an illicit delivery. Bayram's secretary reports to the police. Fatma and Ismail have a searing confrontation.,7.5,200,,"Burcu Biricik, Ugur Yücel, Mehmet Yilmaz Ak, Hazal Türesan","Ozer Feyzioglu, Ozgur Onurme"
Fatma,2021,Fatma learns the unsettling truth about Zafer's actions following Oguz's death. Unresolved trauma fuels Fatma's violent spiral.,7.5,192,,"Burcu Biricik, Ugur Yücel, Mehmet Yilmaz Ak, Hazal Türesan","Ozer Feyzioglu, Ozgur Onurme"
Fatma,2021,The Argah family's role in Oguz's death comes to light. Yusuf presses Fatma for the location of a murder weapon and reveals a secret about Zafer.,7.5,186,,"Burcu Biricik, Sehsuvar Aktas, Servet Pandur, Mehmet Yilmaz Ak",Ozgur Onurme
Fatma,2021,"The police close in on Fatma en route to the village, but a twist of fate buys her time. Emine outmaneuvers Bayram. Fatma settles scores with Zafer.",8.0,192,,"Burcu Biricik, Ugur Yücel, Hazal Türesan, Mehmet Yilmaz Ak",Ozgur Onurme
Fatma,2021,Fatma seeks justice in a blistering coup de grace - but guilt looms over her. Emine grapples with a startling revelation about Oguz's death,8.0,197,,"Burcu Biricik, Ugur Yücel, Mehmet Yilmaz Ak, Hazal Türesan",Ozgur Onurme
Fauda,2015,"Doron and the team return, trying to hurt the Hamas infrastructure in the west bank.",8.2,310,50,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,"Doron is determined to stop Fawze by any means. Hila Bashan, the new head of the Gaza desk in the security service, pushes him to use Bashar to get to him. Doron is unsure whether he should...",8.3,272,50,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,"Doron is fearful for Bashar, who disappears. An operation to find the Hamas terrorists ends with bad results. Bashar, who doesn't know what to do, asks help from his father.",8.3,257,44,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,"The army chases Bashar and his father. The two make plans to get out of their difficult situation, but it tolls a heavy price. Meanwhile, Avichai deals with his mistake.",8.1,248,40,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,"All security services are in pursuit of Bashar and Jihad, trying to stop a catastrophe, but Jihad manages to stay ahead of them. Doron, feeling guilty for all that has happened, tries to fix the situation with no success.",8.2,248,38,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,"Jihad and Bashar lead their ""assets"" to Hanni El-Jaabari in Gaza. This saves Bashar's life but he realizes that he is trapped. On the Israeli side, Doron is on the verge of despair and ...",8.0,244,46,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,"Doron, Eli, Sagi and Avichai settle in Gaza. The dangers are behind every corner, and Eli starts to show signs of his post-trauma from a tragic event he was involved in. Meanwhile, Elad and Yaara deal with the cruel reality they're in.",8.6,283,43,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,The Hamas leader decides to have Bashar and Jihad guard Yaara. To pressure them Eyov decides that Jihad's house in Daharia will be demolished. Hanni realizes there are Israeli operatives in Gaza.,8.3,256,44,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,"Doron realized there is a once in a lifetime opportunity but Eyov rejects the idea, once again Hila intervenes to convince Eyov. The team is on its way but the situation escalates risking ...",8.5,273,49,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,"The team is broken and desperate but refuse to abort the mission, they find the hiding place and get ready to raid it. Meanwhile, the news reach Israel and the families.",8.5,278,37,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,"Doron feels guilty and has difficulties dealing with the outcomes of the operation. Meanwhile in Gaza, the Sheikh tries to help Bashar, but angry and frustrated Bashar has other plans.",7.7,242,41,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fauda,2015,"Bashar returns to the west bank promising to finally knockout the Israelis. All security organization do whatever they can to stop him, but the chase is difficult.",8.0,289,39,"Lior Raz, Ala Dakka, Itzik Cohen, Yaakov Zada Daniel",Rotem Shamir
Fedeltà,2021,,,,,"Michele Riondino, Lucrezia Guidone","Stefano Cipani, Andrea Molaioli"
Feel Good,2020,"Stand-up comedian Mae is stuck in a rut - she's single, in recovery from a drug addiction and sleeping on a friend's sofa. Then she meets the magnetic, but previously heterosexual George.",7.1,292,24,"Mae Martin, Charlotte Ritchie, Lisa Kudrow, Sophie Thompson",Ally Pankiw
Feel Good,2020,"Mae and George are so loved-up they haven't spent a moment apart since they met. But when George goes away to a wedding, Mae realises that she's forgotten how to be on her own.",7.4,239,23,"Mae Martin, Charlotte Ritchie, Lisa Kudrow, Sophie Thompson",Ally Pankiw
Feel Good,2020,"As their relationship continues to heat up at home, Mae is growing increasingly insecure about George's public attitude toward her. Things reach a climax when they attend a house party.",7.7,232,23,"Mae Martin, Charlotte Ritchie, Sophie Thompson, Tom Andrews",Ally Pankiw
Feel Good,2020,"Mae learns that her parents are visiting the UK but haven't thought to tell her. They're in Blackpool, scattering the cat's ashes. An incensed Mae hotfoots it to the North to join them, taking George with her for moral support.",7.8,215,23,"Mae Martin, Charlotte Ritchie, Lisa Kudrow, Sophie Thompson",Ally Pankiw
Feel Good,2020,"The arrival of Noughties heart-throb Arnie Rivers at the comedy club knocks Mae's confidence in her relationship. Arnie tells Mae to be as honest as possible on stage, catapulting her career but collapsing her relationship with George.",7.9,226,24,"Mae Martin, Charlotte Ritchie, Sophie Thompson, Tom Andrews",Ally Pankiw
Feel Good,2020,"Mae hits rock bottom after her break-up with George. While George is pining for her, Mae's having casual sex - but her heart's not in it. Mae starts to fall back into her old habits of self-destruction. Is she a lost cause?",7.9,226,24,"Mae Martin, Charlotte Ritchie, Lisa Kudrow, Sophie Thompson",Ally Pankiw
Feels Like Ishq,2021,,,,,,Devrath Sagar
Final Space,2018,The search for a dimensional key leads the Crimson Light to Ash's home planet. HUE hosts a bachelor party for an unexpected visitor.,7.7,731,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny","Ben Bjelajac, Anne Walker Farrell"
Final Space,2018,A collision with space time traps half of the Crimson Light in a perilous other dimension.,9.0,941,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny",Ben Bjelajac
Final Space,2018,Gary reconnects with the mother who abandoned him; Mooncake misses Gary's attention.,8.1,714,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny","Ben Bjelajac, Yoriaki Mochizuki"
Final Space,2018,"When Mooncake is mysteriously taken from the Crimson Light, the crew must find him in the nether reaches of space. Meanwhile, Tribore rebuilds the resistance.",8.0,662,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny","Ben Bjelajac, Anne Walker Farrell"
Final Space,2018,"Nightfall attempts to bring the past back to life, leaving the crew powerless against a pack of evil KVNs.",8.0,648,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny",Ben Bjelajac
Final Space,2018,An unexpected trip through time provides a unique opportunity for the crew.,8.7,691,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny","Ben Bjelajac, Yoriaki Mochizuki"
Final Space,2018,Gary discovers a way he may be able to communicate with Quinn; Tribore reconnects with a resistance fighter who has an ulterior motive.,8.9,728,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny",Ben Bjelajac
Final Space,2018,"Gary and crew search Galang 22 for Little Cato; Clarence, Fox and Ash pull off their greatest con; Sheryl's secrets come out.",7.6,598,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny","Ben Bjelajac, Anne Walker Farrell"
Final Space,2018,An act of betrayal shakes the crew; Hue and Mooncake have a day out for themselves.,8.2,583,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny","Ben Bjelajac, Anne Walker Farrell"
Final Space,2018,The search for the stolen dimensional keys leads the crew to a planet being sucked into the Dark Zone; Hue and Ava get closer.,8.8,622,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny","Ben Bjelajac, Yoriaki Mochizuki"
Final Space,2018,"With the dimensional keys recovered, the crew travel to Inner Space where they finally try to free Bolo.",9.2,806,21,"Fred Armisen, Ashly Burch, Ron Funches, Tom Kenny",Ben Bjelajac
Floor Is Lava,2020,"A mom and her twin children, three triplet brothers, and a trio of youth group pastors are tasked with getting across a perilous basement full of ancient artifacts.",6.1,148,37,Rutledge Wood,Brian Smith
Floor Is Lava,2020,,6.7,101,34,Rutledge Wood,Brian Smith
Floor Is Lava,2020,,6.6,94,31,"Jerrold Smith II, Rutledge Wood",Brian Smith
Floor Is Lava,2020,,6.6,83,31,Rutledge Wood,Brian Smith
Floor Is Lava,2020,,6.3,77,34,Rutledge Wood,Brian Smith
Floor Is Lava,2020,,6.4,71,25,"Todd Leykamp, Rutledge Wood",Brian Smith
Floor Is Lava,2020,,6.4,63,26,Rutledge Wood,Brian Smith
Floor Is Lava,2020,,6.9,60,27,Rutledge Wood,Brian Smith
Floor Is Lava,2020,,6.7,59,27,"Janine Hogan, Alyssa Sabo, Rutledge Wood",Brian Smith
Floor Is Lava,2020,,7.1,57,29,Rutledge Wood,Brian Smith
Formula 1: Drive to Survive,2019,The 2019 season wrapped up. Follow the drivers ups and downs and experience the thrill of Formula 1 up close.,7.6,614,33,"Cyril Abiteboul, Alexander Albon, Valtteri Bottas, Zak Brown",
Formula 1: Drive to Survive,2019,"Carlos Sainz and Daniel Ricciardo in focus: Carlos is eager to achieve good results with his new team, which has gone through some tough times. Daniel on the other hand is trying to turn ...",7.8,572,38,"Cyril Abiteboul, Alexander Albon, Valtteri Bottas, Zak Brown",
Formula 1: Drive to Survive,2019,Lewis Hamilton and the Mercedes team - long dominant in Formula 1 - face a true test of mettle on a rain-soaked track at the German Grand Prix.,8.3,612,37,"Cyril Abiteboul, Alexander Albon, Valtteri Bottas, Zak Brown",
Formula 1: Drive to Survive,2019,"Red Bull rivals Max Verstappen and Pierre Gasly race in Monaco, Montreal and Austria, where one driver shines and the other struggles.",8.0,569,36,"Cyril Abiteboul, Alexander Albon, Valtteri Bottas, Will Buxton",
Formula 1: Drive to Survive,2019,"Alex Albon, the newest driver on the Red Bull team, wants to achieve what his predecessor couldn't. At the Belgium Grand Prix, disaster strikes.",8.8,681,37,"Alexander Albon, Valtteri Bottas, Will Buxton, David Croft",
Formula 1: Drive to Survive,2019,Charles LeClerc challenges Seb Vettel on the Ferrari Team,7.8,534,32,"Alexander Albon, Valtteri Bottas, Will Buxton, David Croft",
Formula 1: Drive to Survive,2019,Niko Hulkenberg is under pressure to perform at Renault,7.8,520,38,"Cyril Abiteboul, Alexander Albon, Valtteri Bottas, Zak Brown",
Formula 1: Drive to Survive,2019,"Team Williams struggles, with Gerorge Russell frustrations",7.5,516,31,"Alexander Albon, Valtteri Bottas, Will Buxton, Pierre Gasly",
Formula 1: Drive to Survive,2019,Pierre Gasly and Alex Albon's Second Half of the Season,8.3,552,31,"Cyril Abiteboul, Alexander Albon, Onur Han Besen, Valtteri Bottas",
Formula 1: Drive to Survive,2019,Recently re-branded Racing Point faces criticism over the design of their 2020 car as the sport comes to a standstill.,7.5,618,38,"Cyril Abiteboul, Alexander Albon, Valtteri Bottas, Zak Brown",
Formula 1: Drive to Survive,2019,"The drivers head to Austria for their first race in more than 200 days. Meanwhile, the Red Bull and Mercedes rivalry heats up, on and off the track.",7.9,587,38,"Alexander Albon, Valtteri Bottas, Will Buxton, Pierre Gasly",
